majorSeq,major,interest,property,schoolName,공통과목,일반선택과목,진로선택과목,lClass,class_type
121,도자기공예학과,"도자기공예는 인간이 가진 개성, 개별적인 사고와 표현을 중요시합니다. 남과는 다른 자기만의 생각과 창의성이 있는 사람에게 적합합니다. 도자기에 관한 기본의 지식과 좋은 재료의 선별법과 뜨거운 가마에서 굽는 모든 과정까지 단계별 기술과 지식을 익혀야 합니다.","사람에 따라서 도자기 공예를 통하여 인간의 가치와 삶의 방향을 찾을 수 있습니다. 작업 성격에 따라 개인적인 창작도예가로, 전통적인 장인정신이 요구되는 기능적인 도예가로, 미술관의 도예전문 큐레이터, 박물관의 학예연구관 등 산업생활을 할 수 있는 디자이너로서의 도예가로 크게 나누어 활동하고 있습니다.",국민대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
128,동양화과,그림 그리기 자체를 즐기는 사람에게 어울리는 전공입니다. 자유롭게 생각하고 남과는 다른 아이디어를 낼 수 있는 사람들에게 유리합니다. 자신의 생각을 작품으로 표현할 수 있는 능력을 갖추어야 합니다.,"동양화과는 졸업 후 전공을 살려 다양한 분야로 진출할 수 있습니다. 대표적인 작가활동을 비롯하여 각종 학원과 기관을 통해 미술교육가로서 활동할 수 있으며, 미술 이론가로서 능력을 발휘할 수도 있습니다. 미술관 큐레이터, 박물관 학예연구사 등 미술행정 분야에도 진출할 수 있습니다. 또 동양화의 감성과 기법을 살려 일러스트, 의상디자인, 애니메이션 등 응용분야에서도 활동할 수 있습니다.",덕성여자대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
10149,디자인학과,"평상시 미술, 음악 등 예술 작품을 좋아하고, 자신의 생각을 시각적으로 표현하는 것을 즐기는 사람에게 적합합니다. 섬세한 감성을 가지고 새로운 일에 도전하는 성향을 가지고 있는 사람에게 적합합니다. 미적 감각을 지니고, 사람들이 공감할 수 있는 디자인을 독창적으로 제시할 수 있는 창의력이 필요합니다. 사회 변화에 관한 이해를 바탕으로 사람들과 소통하고 팀 작업을 할 수 있어야 합니다. ","디자인은 현대 사회에서 기업과 국가의 경쟁력을 높이는 역할을 하고 있습니다. 같은 기능의 휴대폰이나 자동차라고 하더라도 디자인의 차이로 제품의 경쟁력이 갈리게 됩니다. 디자인은 앞으로 더욱 중요해질 것으로 보입니다. 디자인 관련학과로는 산업디자인학과, 시각디자인학과, 패션디자인학과, 공업디자인학과, 공예디자인학과, 광고디자인학과, 디지털디자인학과 등 다양합니다.",고려사이버대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
10150,디지털디자인학과,"첨단기술에 관심이 많고 예술적으로 표현하기를 좋아하는 사람에게 적합합니다. 미적 감각, 창의적 사고, 융합적 사고가 요구되며, 도구나 기계를 잘 다루는 것이 중요합니다. 특히 예술적 감각과 프로그래밍 같은 기술을 다룰 줄 알아야 하기 때문에 성실함이 필요합니다.","모션그래픽, 영상편집, CG 등 영상 관련 디자인이 디지털 디자인의 대표적인 분야입니다. 디지털디자인학과는 과학기술의 발전에 따라 범위가 더욱 광범위해지고 있습니다. 과학기술의 급격한 발전과 함께 예술 영역도 확대되고 있습니다. 디지털디자인은 표현방식과 방법이 다른 예술장르에 비해 폭넓고, 다른 예술 분야와 융합할 수 있는 장점을 가지고 있습니다.",동덕여자대학교,"수학, 과학, 예술, 생활ㆍ교양, 사회, 국어","수학ㆍ과학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 물리학Ⅰ, 지구과학Ⅰ<br>예술ㆍ사회교과 : 미술, 연극, 음악, 사회문화, 생활과 윤리, 세계사, 경제<br>생활ㆍ교양교과 : 정보, 심리학, 논술, 인문학적 감성과 역사이해, 문학적 감성과 상상력","미술창작, 미술/음악 감상과 비평, 사회문제 탐구, 고전 읽기, 융합 과학, 지식재산 일반, 창의 경영, 기하, 수학탐구 과제",예체능계열,예체능계열
10020,레저스포츠학과,스포츠 자체를 좋아하고 즐기는 사람들에게 적합한 전공입니다. 다른 사람들에게 레포츠 활동을 지도하기 위해서는 상대방의 이야기를 잘 이해하고 자신의 생각을 잘 전달할 수 있는 능력이 필요합니다.,현대 사회는 본격적인 여가사회로 출현함에 따라 어떻게 여가를 즐길 것인가가 삶의 질을 결정하는데 중요한 영향을 미치고 있다. 경제성장과 의료 기술의 발달로 건강과 삶의 질에 대한 관심이 증가함에 따라서 각 개인의 맞춤식 스포츠 활동은 개인의 문제를 넘어 국가적인 이슈로 대두되고 있다,국민대학교,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구",예체능계열,예체능계열
144,만화애니메이션학과,상상력과 자기만의 아이디어가 있는 사람들에게 적합한 전공입니다. 새로운 스토리의 만화나 애니메이션을 머리  속에서 만들 수 있는 사람에게 유리합니다. ,"
디지털 시대의 만화와 애니메이션은 인터넷, 모바일, 등 새로운 미디어와 결합하여 보다 강력한 문화산업으로 발전하고 있습니다. 최근 우리나라의 웹툰은 만화종주국 일본을 비롯하여 세계적으로 호평을 받고 있으면 산업적으로도 크게 성장하고 있습니다. 성공한 웹툰은 드라마나 영화 등으로 새롭게 제작되어 사람들의 사랑을 받고 있습니다.",경기대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
155,목조형가구학과,새로운 창작물을 만들기 위해서는 자신만의 생각과 아이디어가 있어야 합니다. 일상용품 뿐만 아니라 새로운 예술작품을 만들기 위해서는 사용되는 재료와 기법이 다양합니다. 목조형가구를 창작하는데 필요한 지식과 기술을 익혀야 합니다.,"오늘날의 주거공간은 다양한 가구문화를 요구하고 있으며, 가구산업은 생활문화를 선도하는 산업으로 자리 잡고 있습니다. 가구 디자인 분야에서 목조형가구학과는 학문적인 뒷받침을 하는 역할을 하면서 그 위상이 높아지고 있습니다. 최근 목조형가구학과에서는 실용적인 가구보다는 목조 예술품을 창작하는데 관심을 가지고 있습니다.",홍익대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
158,무도학과,"태권도, 유도, 검도, 호신술 등 무도 자체를 좋아해야 합니다. 무도가 좋고 무도를 평생의 직업으로 삼고 싶은 사람이라면 도전할 만 합니다. 무도 지도자가 되려면 무술의 이론과 실기에 능해야 합니다. 또한 사람들과 의사소통을 잘 해야 자신의 기술을 가르칠 수 있습니다.  ","전 세계적으로 동양 무술에 대한 관심이 많습니다. 우리나라뿐만 아니라 중국과 일본에도 대학에 무도학과가 설치되었고, 미국의 브리지포트대학교에도 무술학과가 설치되었습니다. 캐나다와 러시아 등에서도 태권도를 비롯한 동양 무술 대학 전공 설치에 대해 관심을 가지고 있습니다.",동의대학교,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구",예체능계열,예체능계열
162,무용학과,"무용가가 되려면 신체가 유연하고 균형감각이 있어야 합니다. 음악에 대한 감각이 있어서 음악에 따라서 몸의 리듬을 맞출 수 있어야 합니다. 무용도 예술분야의 하나로서 창의성이 중요하며, 무용에 관한 현대적 이론에 대한 지식을 익힐 수 있어야 합니다.","현대무용과 한국무용, 발레 공연 등 무용 공연은 매년 증가하고 있습니다. 문화수준이 높아지면서 무용을 즐기려는 사람들도 늘어나고 있습니다.  온라인 미디어 플랫폼을 이용한 새로운 형식의 창작무용이 앞으로 기대가 됩니다. 정부에서는 예술분야를 지원하고 무용가의 생존권을 확보하기 위한 정책을 마련하고 있습니다.",경희대학교,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구",예체능계열,예체능계열
360,미디어영상학과,"공연 및 영상 예술에 관심이 많고 자유롭게 생각하고 자신의 생각이나 감정을 잘 표현할 줄 알며 신기술에 관심이 많은 학생에게 적합합니다. 영상매체를 잘 다룰 수 있어야 하며, 개성과 창의력, 미적 감각, 예술적 감수성이 요구됩니다. 또한 폭 넓은 시각을 갖기 위한 다양한 체험이 도움이 됩니다.","최근 첨단 영상 분야의 발달이 영화, 방송 등에 긴밀한 영향을 미치고 있어 영상 콘텐츠 표현 방법이 다양화되고 있습니다. 이러한 콘텐츠를 기획하는 창의적 인재를 육성하기 위해 현대 미학, 비평, 스토리텔링, 연출, 촬영, 편집, 디지털 효과 등을 교육과정으로 삼고 있습니다. 영상매체에 대한 대중의 관심은 앞으로도 지속될 것이므로 영상 분야는 향후 전망이 좋을 것으로 판단됩니다.",건국대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
184,미술학과,"눈에 보이는 모든 결과물들, 혹은 현상들에 대해서 남들보다는 좀 더 관심을 갖고 의문점을 가지며 또 어떻게 저런 것이 만들어졌는가에 대한 생각을 하는 사람에게 맞습니다. 즉 독창적으로 생각하고 창의적으로 표현하는 것을 좋아하는 사람에게 적합합니다. 더불어 독창성과 창의성의 토대가 되는 기본 실기 능력이 중요합니다. 또, 오랜 연습을 견딜 수 있는 인내력 또한 요구됩니다.","미술학과는 다양한 전공 분야, 즉 한국화, 서양화, 조소 등을 배울 뿐만 아니라 실무에 응용할 수 있는 컴퓨터 그래픽, 광고론, 디자인 마케팅, 일러스트레이션을 배움으로써 미술 여러 분야의 진로를 탐색하여 자신에게 맞고 원하는 미술 분야로의 진출을 가능하게 합니다.",경희대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
10040,뷰티미용학과,"미용은 고객을 대상으로 하는 일이라 사람들과 잘 이야기하고 상대의 이야기를 잘 이해할 수 있는 사람에게 적합합니다. 미적 감각이 좋아야 고객을 만족시킬 수 있습니다. 커트, 파마, 염색 등 고객의 헤어스타일을 연출하는데 필요한 지식과 기술을 충분히 익힐 수 있어야 합니다.","뷰티산업의 발전에 따라 뷰티산업의 시장이 확대되고 다양한 형태의 교육기관이 증가하고 있습니다. 뷰티산업 분야에 취업하는 분야는 세분화, 전문화되었습니다. 미용전문가라고 하더라도 전문 분야에 따라서 헤어디자이너, 피부관리사, 체형관리사, 두피관리사, 메이크업아티스트, 스타일리스트, 네일 테크니션, 특수머리 전문가, 특수 분장사 등 다양한 진로분야가 있습니다.
",건국대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
234,사진영상학과,"삶의 철학을 갖고 사진이나 만화 작품 속에 그것을 표현하는 것을 좋아하는 사람에게 적합합니다. 영상과 그림에 대한 남다른 조형감각이 필요합니다. 또한, 기계나 도구를 다루는 데 소질이 있어야 하며, 미적 감각이 요구됩니다. 무엇보다 인문학적인 상상력이 필요합니다. 왜냐하면 스토리 능력이 필요하기 때문입니다. 그래서 책을 많이 접하면서 인문학적 소양을 키우는 것이 필요합니다.","인터넷과 기술의 발달로 만화나 사진은 종이 형태로만 볼 수 있는 것이 아니라 생활 곳곳에 다양한 형식으로 자리 잡고 있습니다. 요즈음에는 핸드폰으로 사진을 찍을 뿐만 아니라 소지하고 있고 웹툰으로 만화를 즐깁니다. 이렇듯 사회의 생활 양식이 변화하고 있으며, 그에 맞게 사진과 만화의 형식도 다양하게 확대되고 있습니",한국예술종합학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
242,사회체육학과,운동이나 스포츠 자체를 즐기는 사람들에게 유리한 전공입니다. 사회체육 지도자로서 활동하기 위해서는 운동을 잘 해야할 뿐만 아니라 사람들의 이야기를 잘 듣고 자신의 이야기를 잘 전달할 수 있어야 합니다. ,현대인들의 여가 증가에 따른 건강 및 스포츠 활동에 대한 욕구가 증가하였습니다. 최근 생활체육 관련 시설이 크게 확층되었고 다양한 프로그램이 개발되었습니다. 노인 인구가 늘어나면서 노인들이 참여하는 체육 활동도 늘어나고 있습니다. ,광운대학교,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구",예체능계열,예체능계열
253,산업디자인학과,제품을 디자인을 하기 위해서는 미적 감각이 있어야 하고 자신만의 새로운 아이디어가 있어야 합니다. 그리고 자신의 아이디어를 표현할 수 있는 능력이 있어야 합니다. 과학적으로 사고하고 문제 상황에서 해결책을 찾을 수 있는 능력이 필요합니다.,"산업디자인학과에서는 가전제품, 운송기기, 오디오, 휴대폰, 가구, 신발, 가방, 유아용품, 악기, 게임, 스포츠용품, 웨어러블, 화장품, 패키지 등 사람들의 생활에서 필요로 하는 제품들을 디자인합니다. 최첨단 기술 제품이 새롭게 생산되는 시대를 맞이하여 정보기술을 비롯한 새로운 기술과 함께 산업디자인은 발전하고 있습니다.",건국대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
272,서양화과,예술가는 풍부한 상상력과 창의력을 바탕으로 자기 특유의 미적 표현능력을 발휘하여 자신뿐만 아닌 타인에게도 미적 감동을 느낄 수 있는 작품세계를 보여주어야 합니다. 자신의 미적 표현능력을 적극적으로 발현할 수 있고 예술에 대한 끝없는 탐구욕을 가진 사람에게 적합합니다. 서양화를 공부하려는 학생들은 미술에 대한 호기심과 재능이 풍부하여야 하며 최소한의 실기 능력을 소지하고 있어야 합니다. ,서양화는 대체로 캔버스(천)에 유화 물감으로 그려진다. 두터운 종이에 수채로 그리는 그림도 있고 아크릴 같은 특수 물감도 널리 쓰여지고 있습니다. 최근에 일부 작가들은 3D 디지털 회화를 개척하려고 시도하고 있습니다. 시대의 발전에 따라서 사용하는 재료와 캔버스의 종류가 변화하고 있습니다.,덕성여자대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
282,섬유디자인학과,자신만의 섬유 디자인을 하기 위해서는 독창성과 창의성을 가지고 있어야 합니다. 세상의 변화와 추세에 민감해야 시대 흐름에 뒤처지지 않는 디자인을 할 수 있습니다. 고객이나 팀원과의 의사소통이 원활해야 좋은 디자인을 만들 수 있습니다.,"섬유나 직물(텍스타일)은 쓰이는 곳이 상당히 다양합니다. 의류회사나 인테리어 회사뿐만 아니라 정보통신 기술을 다루는 회사에서도 섬유디자인이 필요합니다. 자동차회사, 팬시브랜드를 다루는 회사에서도 섬유 디자인을 전공한 인력을 필요로 합니다.  ",덕성여자대학교,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평",예체능계열,예체능계열
283,성악과,"제일 중요한 것은 기본적으로 악보를 볼 수 있는 능력이기 때문에 피아노를 연주하거나 합창단에서 음악활동을 하는 것이 도움이 됩니다. 또한 성악의 가사나 성악 분야의 자료가 대부분 외국어이므로 외국어에 대한 흥미가 있으면 유리합니다. 더불어, 가장 중요한 것은 좋은 목소리와 호흡이라고 할 수 있습니다. 그러므로 목소리 자체가 좋아야 하고, 항상 건강한 체력을 유지하며 폐활량을 늘려야 합니다.","성악은 기악과는 달리 어릴 때부터 시작하지 않아도됩니다. 하지만 발성을 터득하는 것이 중요합니다.또, 가곡이나 오페라, 미사곡 같은 클래식 음악 위주로 배우지만 졸업 후 합창단이나 오페라단에 진출할뿐만 아니라 뮤지컬이나 방송사에도 많이 진출하는편입니다.",경희대학교,"음악, 윤리","예술교과 : 음악<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","음악 연주, 음악 감상과 비평",예체능계열,예체능계열
306,스포츠건강관리학과,기본적으로 스포츠를 좋아하고 체육학과 관련 있는 여러 교과목에 대한 관심이 있다면 충분하다고 생각됩니다. 스포츠건강과학은 광범위하게 적용 가능한 학문이므로 졸업 후 다양한 분야로 진출하여 전문가로 활약할 수 있습니다.,"엘리트 운동선수 경력이 있거나 현재 선수로 활동하고 있는 사람이나 스포츠나 건강 분야에서 진로를 찾는 사람들에게 스포츠건강관리학과를 권할만 합니다. 지역의 체육관련 단체, 스포츠 동호회에서 활동하며 평생 스포츠와 함께 하고 싶은 사람들이 도전할만 한 전공입니다.",국민대학교,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구",예체능계열,예체능계열
307,스포츠지도학과,스포츠 자체를 즐기는 사람들에게 유리합니다. 적어도 한가지 운동에 대해서는 선수 못지 않은 실력을 갖추고 있어야 합니다. 여러 사람들과 잘 어우릴 수 있어야 합니다. 상대방의 이야기를 잘 이해하고 자신의 이야기를 잘 전달할 수 있어야 합니다.,"여가 생활에 대한 관심이 높아지면서 스포츠를 즐기려는 사람들이 다양해 지고 있습니다. 유소년, 장애인, 성인, 노인 등은 단순히 스포츠를 관람하는 것을 넘어서서  스포츠를 즐기는 주인공이 되고 있습니다. 다양한 대상의 프츠 지도사의 수요는 앞으로도 늘어날 것으로 전망됩니다.",국민대학교,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구",예체능계열,예체능계열
