lClass,facilName,majorSeq,mClass,totalCount
사회계열,"경찰・법・행정학부,경찰・소방학과,경찰・안보학과,경찰・행정학부,경찰.공공행정학부,경찰·소방행정학부,경찰ㆍ행정학과,경찰경호학과,경찰경호학전공,경찰과학수사학과,경찰범죄심리학과,경찰범죄심리학전공,경찰보안전공,경찰소방전공,경찰소방학과,경찰소방학부(경찰행정전공),경찰정보보안학과,경찰정보보호학부(경찰행정전공),경찰탐정수사학전공,경찰탐정학과,경찰학과,경찰학부,경찰학부 경찰행정학전공,경찰학부(경찰행정학전공),경찰학부(자치경찰학전공),경찰학전공,경찰행정ㆍ범죄심리학과,경찰행정법학과,경찰행정전공,경찰행정학과,경찰행정학부,경찰행정학부 경찰행정전공,경찰행정학부 국방ㆍ일반행정전공,경찰행정학부(경찰행정전공),경찰행정학부(해양경찰전공),경찰행정학전공,공공경찰행정학과,국방경찰학과,국방경찰행정학부,범죄수사학전공,법・경찰행정학부,법경찰행정학부,사이버경찰학과,사이버보안경찰학과,사이버수사경찰학부,탐정전공,행정·경찰학과,행정경찰공공학과,행정경찰학부",27,경찰행정학과,304
예체능계열,"경호무도학과,경호무도학전공,경호보안전공,경호보안학과,경호보안학전공,경호비서학과,경호전공,경호학과,무도경호학과,무도경호학과(신),무도경호학부,무도학부 무도경호전공,무예경호학과,스포츠경호무도학과,스포츠경호학과,스포츠경호학부,시큐리티매니지먼트학과,태권도ㆍ경호탐정학과,태권도경호학과,항공보안경호학부,항공보안학전공",10041,경호학과,304
인문계열,"고고・미술사학과,고고미술사학과,고고미술사학전공,고고학과,역사고고학과,역사문화학과,역사문화학부 고고미술사학전공,역사학과,역사학부,융합고고학과,인문콘텐츠학부 역사콘텐츠학과",29,고고학과,304
공학계열,"[화학소재]고분자공학전공,고분자·화학공학부(고분자공학전공),고분자공학과,고분자공학전공,고분자나노공학과,고분자시스템공학부,고분자시스템공학부 고분자공학전공,고분자시스템공학부 파이버융합소재공학전공,고분자융합소재공학부,나노・신소재공학부(고분자공학전공),나노고분자공학전공,나노고분자재료공학과,신소재화학공학부 유기재료고분자공학과,유기재료고분자공학과",30,고분자공학과,304
예체능계열,"공업디자인전공,공업디자인학과,디자인융합학과",34,공업디자인학과,304
공학계열,"공업화학・고분자공학부,공업화학과,공업화학전공",35,공업화학과,304
예체능계열,"공예디자인,공예디자인과,공예디자인전공,공예디자인학과,귀금속보석공예과,귀금속보석공예전공,귀금속보석디자인전공,귀금속주얼리학과,금속ㆍ주얼리디자인학과,금속공예디자인학과,디자인비즈학부,디자인학부(공예전공)",39,공예디자인학과,304
예체능계열,"공예과,공예전공,공예학과,디지털공예과,미술학부 디지털공예전공,전통미술공예학과,지역산업학과,회화ㆍ공예학과",41,공예학과,304
교육계열,"과학교육과,과학교육과(심화전공),과학교육학부",44,과학교육과,304
사회계열,"공공서비스학부(문화여가서비스전공),관광&영어통역융복합학과,관광ㆍ엔터테인먼트학부,관광개발경영학과,관광개발학과,관광경영・컨벤션학과,관광경영전공,관광경영전공/호텔관광외식경영학부,관광경영학과,관광경영학전공,관광레저경영전공,관광레저항공경영학부,관광문화콘텐츠학과,관광사업경영학과,관광외식경영학과,관광융복합학과,관광이벤트학과,관광전공,관광축제리조트경영학과,관광컨벤션학과,관광콘텐츠경영학과,관광푸드비즈니스학부,관광학과,관광학부,관광학부 호텔관광경영학전공,관광항공경영학과,국제관광경영학과,국제관광경영학부,국제관광경영학전공,국제관광전공,국제관광학과,국제관광학부,국제관광학전공,국제교류학부 서비스경영전공,국제레저관광학과,글로벌Hospitalityㆍ관광학과,글로벌Hospitality경영전공,글로벌관광경영학과,글로벌관광학과,글로벌관광학부,글로벌마이스관광학과,글로벌호텔경영학과,글로벌호텔관광학과,레저&리조트학과,레저레크레이션학과,문화관광경영학과,문화관광계열,문화관광산업학과,문화관광외식학부,문화관광학과,문화관광학전공,문화산업대학(문화),문화예술관광콘텐츠학과,스마트관광학과,스마트호스피탈리티학과,여가디자인학과,여가라이프비즈니스학과,웰니스문화관광학과,융합관광경영전공,융합관광기획학과,중국문화관광학과,투어리즘 & 웰니스학부,항공・관광경영학부,항공관광&카지노학전공,항공관광서비스학과,항공관광학과,항공호텔관광경영학부,항공호텔관광전공,항공호텔조리학부(항공호텔전공),호텔・관광・컨벤션학부,호텔・관광・컨벤션학부(국제문화관광전공),호텔・관광경영학과,호텔관광경영학부(관광경영전공),호텔관광학전공,호텔컨벤션학과,호텔항공경영학과,호텔항공관광경영학과,호텔항공관광경영학부,호텔항공서비스학과,호텔항공외식경영학과,휴먼융합서비스학부(문화산업전공)",46,관광경영학과,304
예체능계열,"관・현악전공,관현악・작곡학부 관악전공,관현악・작곡학부 현악전공,관현악과,관현악전공,관현악학부 관악전공,관현악학부 현악전공,기악과(관악전공),기악과(현악전공),음악과(관현악전공),음악학과 관현악전공,음악학부 관현악전공,음악학부(관현악전공)",49,관현악과,304
예체능계열,"시각디자인융합학부(서비스마케팅디자인전공),의료홍보디자인학과",10140,광고디자인학과,304
사회계열,"AI서비스마케팅학과,공항홍보전공,광고.PR.브랜딩전공,광고PR전공,광고PR학과,광고미디어학과,광고영상창작학과,광고홍보문화콘텐츠전공,광고홍보언론학과,광고홍보언론학부,광고홍보영상미디어학부,광고홍보영상학과,광고홍보이벤트학과,광고홍보전공,광고홍보전공 트랙,광고홍보커뮤니케이션학부,광고홍보콘텐츠학과,광고홍보학과,광고홍보학부,광고홍보학전공,디지털마케팅학과,디지털영상마케팅학과,미디어광고학과,미디어영상광고학부,미디어영상광고학부 광고홍보전공,미디어영상광고홍보학,미디어영상광고홍보학부,빅데이터광고마케팅학과,산업・광고심리학과,상경학부 E-마케팅전공,스마트콘텐츠마케팅학과,홍보광고학과,홍보디자인학전공",54,광고홍보학과,304
공학계열,"광공학과,광기술공학과,광기술에너지융합전공,광메카트로닉스공학과,광시스템공학과,광전자공학과,나노광전자학과,디스플레이전공,레이저광정보공학과,안경광학과",55,광학공학과,304
사회계열,"경상계열,경상학부,경영경제데이터산업학부,국제경상학부,글로벌비즈니스대학,글로벌창의인재학부,라이프융합학부,로컬벤처학부,문화예술경영전문가융복합전공,상경학부,새내기학부(경영계열),하이라이프경영학부",10141,교양경상학부,304
공학계열,"(공과대학)광역,AIㆍSW계열,AI융합교육원(공학),AI융합학부,ICT공학계열,IT공과대학,건축 ㆍ 토목 ㆍ 환경공학부,공과계열,공과대학,공무원ㆍ공기업학과,공학,공학1계열,공학2계열,공학3계열,공학4계열,공학계열,교양학부(공학계열),국제이공학부,글로벌공학부,글로컬혁신공학부,기초공학부,단일계열,디자인공학부,디자인공학전공,미래사회공학부,미래산업융합계열,미래산업융합대학,미래융합학과,미래학부,블루밍넥스트학부,산학융합학부,산학협력교육학부,새내기과정학부(공학계열),새내기학부(이공계열),생명건강공학과,생명건강공학전공,서비스・디자인공학과,시설물유지관리공학과,심리상담치료학과,융복합대학,융합공학부,융합과학공학부,융합교양학부,융합교육학부,융합기술공학부,융합기술공학부(IT응용시스템공학전공),융합시스템공학과,융합창업학부,융합학과,자유전공학과(공학),자유전공학부(공학계열),자율전공학과,자율전공학부,전공자유학부(자연),지식융합학부,창의융합공학부,창의융합교육원(공학),창의융합학부(이공계열),첨단산업학부,첨단융합학부,탈메이지교양・융합대학(공학계열)",10142,교양공학부,304
사회계열,"Do-ing학부,Language & Diplomacy전공,공공인재전공,교양대학,교양대학(진천),교육/경영/보건계열,글로벌ㆍ공공인재 융합계열,글로벌계열,글로벌미디어・컬처전공,글로벌인재학,글로벌인재학부,글로벌혁신대학,글로컬라이프대학,기초교육학과,도시ㆍ지적ㆍ복지학부,드림라이프대학,라이프생활문화학전공,린튼글로벌스쿨,미래・문화・글로벌리더십계열,미래과학융합대학,미래사회인재학부,미래융합대학,미래융합스쿨,미래융합인재학부,미래인재융합대학,미래창의융합계열,법ㆍ행정대학,비전학부,사회계열(법학과,중국학과,정치외교학과),사회과학 광역모집,사회과학계열,사회과학대학,사회과학부,사회과학전공,사회서비스계열,사회안전계열,사회융합자율학부,사회융합학부,사회정의리더십전공,사회통합학부,상담/복지/공학계열,상상력인재학부,새마을국제개발학과,소방행정전공,유스티노자유대학,융합인재개발학부,융합인재학과,융합전공학부,인터내셔널학부,정경학부,정보・인터랙션 디자인전공,지식융합미디어학부,지역환경산업학과,창의융합계열,창의융합학부(사회과학계열),창의인재개발학과,천마인재학부,헬스케어융합학부(인문사회),휴먼서비스계열,휴먼융합서비스학부,휴먼케어창의학부,휴먼테크창의융합계열",10143,교양사회과학부,304
자연계열,"기초학부,라이프케어학부,바이오공학부,생활과학계열,생활과학부,시스템면역과학과,시스템면역과학전공,아동・식품・패션학부,웰니스산업융합학부",10144,교양생활과학부,304
인문계열,"ARETE교양대학,FIND칼리지학부,WISDOM교양대학,가톨릭대학교학부대학,계당교양교육원(인문사회),교양과,교양과정,교양과정(국제),교양과정(서울),교양과정부,교양교수부,교양교육원,교양교육학부,교양융합학부,교양학과,교양학부,교양학부(인문사회계열),국제어문학과,국제언어다문화학과,국제자유전공,국제학부(글로벌자율전공),국제화교양과정부,글로벌교양학부,글로벌기초교육학부,글로벌어문계열,글로벌엘리트학부,글로벌융합계열,글로벌융합대학,글로벌융합리더학부,글로벌자유전공학부,글로벌자율학부,글로벌창의융합계열,글로컬융합인문학전공,기초교양대학(인문사회),기초교양학부,기초교육학부,기타모집단위,뇌교육학과,대양휴머니티칼리지,디아코니아 교양대학,디아코니아학부,디지털인문사회과학부,디지털인문예술전공,디지털인문학연계전공,로터스칼리지,리나시타교양대학,리버럴아츠교육학부,마이크로디그리대학,메타버스융합콘텐츠전공,문과대학,문화교양학과,문화창의학부,문화콘텐츠학부(인문과학대학),미네르바 교양대학(글로벌),미네르바 교양대학(서울),미네르바학부,미래교양대학,미래융합계열,미래인재대학,미래창조융합계열,민석교양대학,브라이트 칼리지,상상력교양대학,새내기과정학부(인문사회계열),스크랜튼학부,스포츠아웃도어학과,신학ㆍ인문융합계열,아레테교육부,아리교양대학,아테나 교양학부,언더우드 비교문학과문화전공,언더우드학부,역사관광·외교학부,열림교양대학,우송교양대학,웨슬리창의융합대학,웰빙문화복지계열,유학대학,융합계열,융합교육원,융합인문사회과학부,융합인재학부,융합전공,융합전공학부(인문),의사소통교육부,인덕원,인문・사회・공학계열,인문・사회과학전공,인문계열,인문계열 성인통합모집단위,인문계열통합모집단위,인문과학계열,인문과학대학,인문과학부,인문교양학부,인문대학,인문문화융합학과,인문문화융합학부,인문문화학부,인문사회계열,인문사회과학대학,인문사회과학부,인문사회교양학부,인문사회대학,인문사회학부,인문융합공공인재학부,인문융합예술계열,인문융합자율학부,인문융합학부,인문자연학부,인문콘텐츠계열,인문콘텐츠학부,인문학부,인문학부 국사학전공,인문학부 국어국문학전공,인문학부 문예창작전공,인성교양대학,인성교양학부,일송자유교양대학,자유전공학과,자유전공학부,자유전공학부(전계열),자유전공학부(학생설계전공 인문사회계열),전공자유학부(인문),전인교육원,차미리사교양대학,차오름교양대학,창의교양학부,창의융합교육원(인문사회),창의융합대학,창의융합인재학부,창의융합학부,창의융합학부(인문사회계열),창의융합학부(인문융합예술계열),창의인재계열,카리스교양대학,캠퍼스아시아학과,쿰칼리지,크리에이티브인문학부,탈메이지교양・융합대학(인문사회계열),파이데이아 학부,파이데이아창의인재학과,평생교육계열,평화교양대학,프라마나전공,프런티어학부대학,피어선칼리지(인문사회계열),학부교양대학,학부대학,학생성장교양학부,학생성장교양학부(창의),학연산클러스터사업단,한국문화・경영전공,혁신기초학부,혁신융합학부,혜화리버럴아츠칼리지,호크마교양교육원,호크마교양대학,후마니타스학과,휴머니티교양대학,휴머니티칼리지",10145,교양인문학부,304
자연계열,"MSC교육부,계당교양교육원(자연),과학기술대학,과학기술융합계열,과학기술융합대학,과학생명융합대학,교양학부(자연과학계열),기초과학과,기초과학부,녹색기술융합학과,산학협력특성화대학,새내기과정학부(자연계열),신산업융합대학,약과학과,융합학부,의과학계열,이공계열,이공계융합계열,이과대학,이학계열,자연계열 성인통합모집단위,자연계열통합모집단위,자연공학계열,자연과학계열,자연과학대학,자연과학부,자연과학부 보건관리학전공,자연과학부 식품영양학전공,자연과학부 응용화학전공,자연과학부 체육학전공,자연과학부 화장품학전공,자연생명계열,자연융합학부,자유전공학부(학생설계전공 자연과학계열),창의융합교육원(자연과학),첨단과학기술학부,탈메이지교양・융합대학(자연과학계열),피어선칼리지(자연과학계열),학부대학(자연과학)",10146,교양자연과학부,304
교육계열,"교육공학과,첨단산업학부,플랫폼교육공학과",57,교육공학과,304
교육계열,"교양교직과정부,교육과,교육과학계열,교육심리학과,교육학과,교육학과(심화전공),교육학부,교육학전공,교직과,교직과(창의),교직과정,교직과정부,교직교육과,교직부,교직학부,글로벌교육학부,미래융합학부(평생교육・청소년학전공),사범대학,사범학부,온라인평생교육학과,외국어교육학부,이러닝콘텐츠교육학과,인재개발학부,중국어교육과,중국어교육전공,창업평생교육학과,청소년교육과,평생교육·상담학과,평생교육·청소년상담학과,평생교육ㆍ상담학전공,평생교육경영전공,평생교육복지전공,평생교육상담학과,평생교육융합계열,평생교육융합학부,평생교육전공,평생교육학과,평생교육학부,휴먼케어평생교육학과",59,교육학과,304
공학계열,"AI교통응용전공,건설환경도시교통공학부,교통공학과,교통공학전공,교통물류공학과,교통시스템공학과,도시・교통공학과,드론・철도・건설시스템공학과,드론교통공학과,스마트철도교통공학과,철도건설시스템학부 글로벌철도학과,철도공학부,철도관제정보학과,철도기계시스템학과,철도시스템공학부,철도시스템학부 철도소프트웨어전공,철도시스템학부 철도전기시스템전공,철도운전・관제시스템학과,철도운전ㆍ전기신호학과,철도운전경영학과,철도운전관제학과,철도운전관제학부,철도운전시스템전공,철도운전시스템학과,철도운전제어학부,철도전기정보공학과,철도차량・전기시스템학과,철도차량시스템공학과,철도차량시스템전공,철도차량시스템학과,철도학부",61,교통공학과,304
공학계열,"국방과학기술학부,국방기술학과,국방기술학부,국방디지털융합학과,국방무기체계학과,국방시스템공학과,국방융합기술학과,국방인재개발학과,국방정보공학과,군사과학기술학과,군사기술학과,방위산업ㆍ국방경영학과",10038,국방기술학과,304
예체능계열,"국악과,국악및작곡전공,국악학과,국악학과(기악전공, 성악전공,이론작곡전공),연희과,음악학부 국악전공,전통공연예술학과,전통연희전공,전통예술학부(연희예술전공),한국음악과,한국음악전공,한국음악학과",67,국악학과,304
교육계열,"국어교육과,국어교육과(심화전공),한국어교육과,한국어교육전공,한국어교육학과,한국어교육학부,한국어교육학부(한국어교육전공)",68,국어교육과,304
인문계열,"Dept. of Global Korean Studies,KFL학부,KLC학과,Korean Language and Business학과,국어국문 ㆍ 문예창작학부,국어국문전공,국어국문학,국어국문학과,국어국문학부,국어국문학부(고전번역전공),국어국문학부(국어국문학전공),국어국문학전공,국어국문한국어교육학과,국제매니지먼트학부,글로벌인재융합전공,글로벌지역학부 한국언어문화전공,글로벌한국어문화학부,동화・한국어문화학과,동화ㆍ한국어문화전공,동화미디어콘텐츠전공,동화미디어콘텐츠학과,웹문예학과,인문학부 한국어문화전공,한국문학콘텐츠창작학과,한국어다문화전공,한국어문콘텐츠전공,한국어문학,한국어문학과,한국어문학부,한국어문학부(국어국문학전공),한국어문학전공,한국어문학전공 트랙,한국어문화학과,한국어문화학부,한국어문화학부(한국어교육전공),한국어문화학부(한국언어문화전공),한국언어문학과,한국언어문화교육전공,한국언어문화학과",69,국어국문학과,304
사회계열,"Department of International Relations,국제관계・행정학부,국제관계학과,국제관계학부,국제관계학전공,아시아국제관계학과,융합전공학부 국제관계학-빅데이터분석학 전공,지속개발협력전공",10007,국제관계학과,304
인문계열,"국제문화관광전공,국제차문화학과,글로벌교육문화학부,글로벌문화경영학과,글로벌문화비즈니스전공,독일문화정보학과,동양문화학과,아시아문화학부(비교민속학전공),유럽문화학과,유럽문화학부,중국문화학과,한국문화콘텐츠학과,한국문화학과,한국어다문화학과",74,국제문화정보학과,304
사회계열,"국제법무전공,국제법무학과,국제법정경계열",75,국제법무학과,304
인문계열,"국제개발협력학전공,국제지역문화학전공,국제지역전공,국제지역학부,국제지역학전공,국제통상・개발협력전공,국제학부(일본학전공),국제한국학전공,글로벌문화학부,글로벌지역학부,글로벌지역학부 영어전공,글로벌지역학부 유러피언스터디즈전공,글로벌지역학부 일어일본학전공,글로벌지역학부 중어중국학전공,글로벌커뮤니케이션학부,글로벌학부(베트남학전공),글로벌한국학과,글로벌한국학전공,글로벌해양인문학부(동아시아문화전공),동북아대학,동아시아학과,동양학과,베트남학과,아랍지역학과,아세안지역전공,아시아중동학부,아시아중동학부 몽골학전공,아시아중동학부 중동학전공,아시아학전공,언더우드 국제학전공,영미학과,영어권지역학전공,유라시아학과,유러피언스터디즈학과,유럽중남미학부 스페인중남미학전공,유럽중남미학부 포르투갈브라질학전공,유럽학부,인도네시아지역전공,인도지역통상학과,인도학과,중국문화산업학과,중국전공,중국지역학과,중국지역학전공,중동학과,중앙아시아학과,지미카터국제학부,프랑스·EU전공,프랑스문화전공,프랑스문화학과,프랑스어권지역학전공,한국학과,한국학부,한국학전공",21005,국제지역학과,304
